title,year,mileage,price,location,transmission,enginePower,color,model,engineCapacity,fuelType,painted,changed,paintedCount,changedCount
DENİZ AUTO DAN OYNANMAMIŞ ORJİNAL HONDA CİVİC OTOMATİK,2001,310.000,375.000 TL,"Tokat, Erbaa",Otomatik,76 - 100 HP,Beyaz,1.4 S,1201 - 1400 cm3,LPG & Benzin,Sol Arka Çamurluk,Sağ Ön Çamurluk,1,1
MASRAFSIZ - YARI G.P - TEMİZ İ S,2000,320.000,342.500 TL,"Bursa, Yıldırım",Otomatik,90 hp,Şampanya,1.4 i S,1396 cc,LPG & Benzin,,"Sol Ön Kapı; Motor Kaputu; Sol Ön Çamurluk",0,3
DEMKA - HATASIZ EKSTRALI TEMİZ CİVİC,1997,233.000,435.000 TL,"İstanbul, Esenyurt",Düz,90 hp,Gri,1.4 i S,1396 cc,LPG & Benzin,"Sağ Arka Çamurluk; Sol Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Sol Arka Kapı; Sol Ön Kapı; Sağ Ön Çamurluk; Motor Kaputu; Sol Ön Çamurluk",,9,0
Sahibinden Honda Civic 1.4 L 1991 Model,1991,365.000,200.000 TL,"Ankara, Yenimahalle",Otomatik,,Gri,1.4 L,,LPG & Benzin,,,0,0
-ÖZCAR- CİVİC GÜVENLİK PAKET OTOMATİK BAKIMLI,2000,344.000,335.000 TL,"Kocaeli, Başiskele",Otomatik,76 - 100 HP,Gri,1.4 i S,1401 - 1600 cm3,LPG & Benzin,,,0,0
Sahibinden Honda Civic 1.4 i S 1999 Model,1999,266.000,345.000 TL,"Sakarya, Erenler",Otomatik,90 hp,Beyaz,1.4 i S,1396 cc,LPG & Benzin,,"Sağ Ön Çamurluk; Motor Kaputu",0,2
EHLİNE 1.4İ S MANUEL-KLİMA-AİRBAG-ABS TAM GÜVENLİK EMSALSİZ,1997,320.000,397.500 TL,"Mardin, Kızıltepe",Düz,90 hp,Bordo,1.4 i S,1396 cc,LPG & Benzin,,,0,0
Galeriden Honda Civic 1.4 i S 1997 Model Trabzon,1997,365.000,395.800 TL,"Trabzon, Akçaabat",Otomatik,90 hp,Gri,1.4 i S,1396 cc,LPG & Benzin,"Sağ Arka Çamurluk; Arka Kaput; Sol Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Tavan; Sol Arka Kapı; Sol Ön Kapı; Sağ Ön Çamurluk; Motor Kaputu; Ön Tampon; Arka Tampon",Sol Ön Çamurluk,12,1
3. sahibinden  1.4 i S 2001 Model,2001,390.000,425.000 TL,"Kütahya, Merkez",Düz,90 hp,Beyaz,1.4 i S,1396 cc,LPG & Benzin,,Sol Ön Çamurluk,0,1
Sahibinden Honda Civic 1.4 i S 1999 Model,1999,250.000,450.000 TL,"Kırklareli, Merkez",Düz,90 hp,Gri (Gümüş),1.4 i S,1396 cc,Benzin,Motor Kaputu,,1,0
// CARLEON dan // HONDA // CİVİC // OTOMATİK // KLİMALI,1999,328.000,345.000 TL,"Denizli, Honaz",Otomatik,90 hp,Gri,1.4 i S,1396 cc,LPG & Benzin,,,0,0
EMSALSİZ TEMİZLİK SINIF BİR ARAÇ,1999,280.000,385.000 TL,"Samsun, Bafra",Düz,90 hp,Gri,1.4 i S,1396 cc,LPG & Benzin,,,0,0
FLİES MOTORS'DAN CİVİC 140'BİN KM ALCANTARA KOLTUK+DİJİTAL KLİMA,2011,140.000,675.000 TL,"İstanbul, Beykoz",Otomatik,76 - 100 HP,Siyah,1.4 Sport,1201 - 1400 cm3,Benzin,"Sağ Arka Çamurluk; Sol Arka Çamurluk; Sağ Arka Kapı; Sağ Ön Kapı; Sol Arka Kapı; Sol Ön Kapı; Sol Ön Çamurluk",Sağ Ön Çamurluk,7,1
JAPON MONTAJ OEM 1.4 is,1998,295.000,477.500 TL,"Bursa, Osmangazi",Düz,90 hp,Beyaz,1.4 i S,1396 cc,Benzin,,,0,0
Sahibinden Honda Civic 1.4 i S 1998 Model,1998,343.000,337.000 TL,"İstanbul, Esenyurt",Düz,90 hp,Gri,1.4 i S,1396 cc,LPG & Benzin,,"Sağ Ön Çamurluk; Sol Ön Çamurluk",0,2
Temiz Honda Civic 160 bin de 2013 model,2013,160.000,610.000 TL,"Bursa, Nilüfer",Düz,100 hp,Siyah,1.4 Sport,1339 cc,LPG & Benzin,"Sağ Arka Çamurluk; Sol Arka Çamurluk; Sağ Ön Kapı; Sol Arka Kapı; Sol Ön Kapı; Sağ Ön Çamurluk; Sol Ön Çamurluk",,7,0
Sahibinden Honda Civic 1.4 LS 1996 Model,1996,360.000,185.000 TL,"İstanbul, Maltepe",Düz,90 hp,Siyah,1.4 LS,1395 cc,LPG & Benzin,,,0,0
Sahibinden Honda Civic 1.4 i S 2001 Model,2001,15.000,495.000 TL,"Sakarya, Karasu",Otomatik,90 hp,Gri (Gümüş),1.4 i S,1396 cc,LPG & Benzin,,,0,0
Sahibinden Honda Civic 1.4 i S 1998 Model,1998,290.000,315.000 TL,"İstanbul, Pendik",Düz,90 hp,Lacivert,1.4 i S,1396 cc,LPG & Benzin,,,0,0
KARASU MOTORS'DAN HONDA CİVİC PANEL&ŞASE&PODYE&KULE BOYASIZ,1999,285.000,299.999 TL,"İstanbul, Avcılar",Düz,90 hp,Kırmızı,1.4 i S,1396 cc,LPG & Benzin,"Sağ Arka Çamurluk; Arka Kaput; Sol Arka Çamurluk; Sağ Ön Kapı; Tavan; Sol Ön Kapı; Motor Kaputu; Sol Ön Çamurluk",Sağ Ön Çamurluk,8,1
2000 MODEL HONDA CİVİC,2000,398.000,378.000 TL,"Siirt, Merkez",Düz,90 hp,Gri,1.4 i S,1396 cc,LPG & Benzin,,Motor Kaputu,0,1
